,city,colleges,colleges_count,state_code,city_state
813,Shepherdstown,['Shepherd University'],1,WV,"Shepherdstown, WV"
814,West Liberty,['West Liberty University'],1,WV,"West Liberty, WV"
815,Appleton,['Lawrence University'],1,WI,"Appleton, WI"
816,Eau Claire,['University of Wisconsin–Eau Claire'],1,WI,"Eau Claire, WI"
817,Green Bay,['University of Wisconsin-Green Bay'],1,WI,"Green Bay, WI"
818,Kenosha,"['University of Wisconsin-Parkside', 'Carthage College', 'Gateway Technical College', 'National-Louis University', 'Herzing University']",5,WI,"Kenosha, WI"
819,La Crosse,"['University of Wisconsin–La Crosse', 'Western Technical College', 'Viterbo University']",3,WI,"La Crosse, WI"
820,Madison,['University of Wisconsin–Madison'],1,WI,"Madison, WI"
821,Menomonie,['University of Wisconsin–Stout'],1,WI,"Menomonie, WI"
822,Milwaukee,[],0,WI,"Milwaukee, WI"
823,Oshkosh,['University of Wisconsin–Oshkosh'],1,WI,"Oshkosh, WI"
824,Platteville,['University of Wisconsin–Platteville'],1,WI,"Platteville, WI"
825,River Falls,['University of Wisconsin–River Falls'],1,WI,"River Falls, WI"
826,Stevens Point,['University of Wisconsin–Stevens Point'],1,WI,"Stevens Point, WI"
827,Waukesha,['Carroll University'],1,WI,"Waukesha, WI"
828,Whitewater,['University of Wisconsin–Whitewater'],1,WI,"Whitewater, WI"
829,Laramie,['University of Wyoming'],1,WY,"Laramie, WY"
830,Dudley,['Nichols College'],1,MA,"Dudley, MA"
831,North Grafton,['Cummings School of Veterinary Medicine at Tufts University'],1,MA,"North Grafton, MA"
832,Paxton,['Anna Maria College'],1,MA,"Paxton, MA"
833,Worcester,"['Assumption', 'Becker, Clark University', 'Holy Cross', 'Mass. College of Pharmacy & Health Sciences', 'Quinsigamond Community College', 'UMass Medical School', 'Worcester State University', 'Worcester Polytechnic Institute']",9,MA,"Worcester, MA"
834,Amherst,"['Amherst College', 'Hampshire College', 'University of Massachusetts Amherst']",3,MA,"Amherst, MA"
835,Northampton,['Smith College'],1,MA,"Northampton, MA"
836,South Hadley,['Mount Holyoke College'],1,MA,"South Hadley, MA"
